User_ID,First_Name,Last_Name,Name,Paid_User,Churn,Segment
1,Andre,Leroy,Andre Leroy,0,0,New User
2,Charles,Miller,Charles Miller,1,1,Lapsed User
3,Heinz,Wagner,Heinz Wagner,1,0,Power User
4,Michel,Martin,Michel Martin,0,0,New User
5,Philippe,Leroy,Philippe Leroy,0,0,New User
6,Muhammad,Taylor,Muhammad Taylor,0,1,Lapsed User
7,Jacques,Dubois,Jacques Dubois,1,0,Power User
8,Wolfgang,Wagner,Wolfgang Wagner,0,0,New User
9,Heinz,Hoffmann,Heinz Hoffmann,0,0,New User
10,Jack,Thomas,Jack Thomas,0,0,New User
11,Thomas,Wilson,Thomas Wilson,1,0,Power User
12,Peter,Wagner,Peter Wagner,0,1,Lapsed User
13,Hans,Muller,Hans Muller,1,0,Power User
14,Harry,Williams,Harry Williams,0,1,Lapsed User
15,William,Jones,William Jones,0,0,New User
16,Alain,Bernard,Alain Bernard,0,0,New User
17,Jean,Martin,Jean Martin,1,0,Power User
18,Charles,Brown,Charles Brown,1,0,Power User
19,Michael,Taylor,Michael Taylor,0,0,New User
20,Charlie,Williams,Charlie Williams,1,0,Power User
21,Fritz,Meyer,Fritz Meyer,0,1,Lapsed User
22,Francois,Moreau,Francois Moreau,0,0,New User
23,John,Davis,John Davis,0,1,Lapsed User
24,James,Wilson,James Wilson,0,1,Lapsed User
25,Klaus,Fischer,Klaus Fischer,1,0,Power User
26,Michel,Bernard,Michel Bernard,0,0,New User
27,Jack,Smith,Jack Smith,1,0,Power User
28,William,Jones,William Jones,1,1,Lapsed User
29,Joseph,Taylor,Joseph Taylor,0,0,New User
30,Philippe,Bernard,Philippe Bernard,0,0,New User
31,Joseph,Davis,Joseph Davis,0,0,New User
32,John,Davis,John Davis,1,0,Power User
33,Michel,Bernard,Michel Bernard,0,1,Lapsed User
34,Thomas,Roberts,Thomas Roberts,1,0,Power User
35,Jacques,Robert,Jacques Robert,0,0,New User
36,George,Roberts,George Roberts,1,0,Power User
37,Oliver,Evans,Oliver Evans,0,0,New User
38,Jean,Martin,Jean Martin,1,0,Power User
39,Robert,Smith,Robert Smith,0,0,New User
